iso3_exp,exporter,GEO,nGDP,rank,share,sector,NACEr1,CO2_intensity,destination,X,X_CBAM
AGO,Angola,Africa,101123.83,39,.0020061927,Chemicals and chemical,24,1.4067867,EU27,43614.29480156791,499.3450041969772
AGO,Angola,Africa,101123.83,39,.0020061927,Chemicals and chemical,24,1.4067867,RoW,63888.58341916988,29.33499974757433
AGO,Angola,Africa,101123.83,39,.0020061927,Rubber and plastics,25,.2790187,EU27,1480.517999834148,0
AGO,Angola,Africa,101123.83,39,.0020061927,Rubber and plastics,25,.2790187,RoW,9157.245917705586,0
AGO,Angola,Africa,101123.83,39,.0020061927,Other non-metallic mineral,26,4.8430367,EU27,701.4400011930848,0
AGO,Angola,Africa,101123.83,39,.0020061927,Other non-metallic mineral,26,4.8430367,RoW,30151.02736268996,22027.74637238681
AGO,Angola,Africa,101123.83,39,.0020061927,Basic metals and fabricated metal,27t28,1.9624588,EU27,38173.51402843103,32088.79702055664
AGO,Angola,Africa,101123.83,39,.0020061927,Basic metals and fabricated metal,27t28,1.9624588,RoW,143157.7094934436,130512.800466628
AGO,Angola,Africa,101123.83,39,.0020061927,"Machinery, nec",29,.19455881,EU27,69439.01451284636,29.43599968531635
AGO,Angola,Africa,101123.83,39,.0020061927,"Machinery, nec",29,.19455881,RoW,286479.1257447852,1289.131043490022
AGO,Angola,Africa,101123.83,39,.0020061927,Electrical and optical equipment,30t33,.20186955,EU27,33228.3591094726,0
AGO,Angola,Africa,101123.83,39,.0020061927,Electrical and optical equipment,30t33,.20186955,RoW,46893.73377946182,0
AGO,Angola,Africa,101123.83,39,.0020061927,Transport equipment,34t35,.29114175,EU27,11058.87399999704,0
AGO,Angola,Africa,101123.83,39,.0020061927,Transport equipment,34t35,.29114175,RoW,141954.1727047269,0
AGO,Angola,Africa,101123.83,39,.0020061927,Manufacturing nec; recycling,36t37,.26614583,EU27,3125.014036900597,.9440000057220459
AGO,Angola,Africa,101123.83,39,.0020061927,Manufacturing nec; recycling,36t37,.26614583,RoW,18474.45587865647,1444.01499408111
AGO,Angola,Africa,101123.83,39,.0020061927,"Agriculture, hunting, forestry and fishing",AtB,.37349537,EU27,15366.24484013871,0
AGO,Angola,Africa,101123.83,39,.0020061927,"Agriculture, hunting, forestry and fishing",AtB,.37349537,RoW,75548.70833968488,0
AGO,Angola,Africa,101123.83,39,.0020061927,Mining and quarrying,C,1.4879924,EU27,4062848.57349678,0
AGO,Angola,Africa,101123.83,39,.0020061927,Mining and quarrying,C,1.4879924,RoW,25139681.3358322,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Food , beverages and tobacco",15t16,.35987267,EU27,4774353.747680133,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Food , beverages and tobacco",15t16,.35987267,RoW,18592477.28760354,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Textiles and textile,17t18,.34086084,EU27,103082.2568161008,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Textiles and textile,17t18,.34086084,RoW,211234.9077168443,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Leather, leather and footwear",19,.19375706,EU27,183726.3349659657,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Leather, leather and footwear",19,.19375706,RoW,630177.1086882339,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Wood and of wood and cork,20,.46805823,EU27,2858.578982876614,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Wood and of wood and cork,20,.46805823,RoW,92084.3009331869,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,2141.903990854276,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,389981.5855678277,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Coke, refined petroleum and nuclear fuel",23,2.87748,EU27,23422.2947851494,0
ARG,Argentina,Americas,557532.31,28,.0038208503,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,648637.1182463821,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Chemicals and chemical,24,1.4067867,EU27,484170.9395261046,.888999979943037
ARG,Argentina,Americas,557532.31,28,.0038208503,Chemicals and chemical,24,1.4067867,RoW,5215732.559220387,24149.8253703363
ARG,Argentina,Americas,557532.31,28,.0038208503,Rubber and plastics,25,.2790187,EU27,12841.69595119951,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Rubber and plastics,25,.2790187,RoW,574118.9483457393,0
ARG,Argentina,Americas,557532.31,28,.0038208503,Other non-metallic mineral,26,4.8430367,EU27,2852.20698988135,1.141000002622604
ARG,Argentina,Americas,557532.31,28,.0038208503,Other non-metallic mineral,26,4.8430367,RoW,156350.0699909864,6814.081807434559
ARG,Argentina,Americas,557532.31,28,.0038208503,Basic metals and fabricated metal,27t28,1.9624588,EU27,118798.7710072913,36912.19978988555
ARG,Argentina,Americas,557532.31,28,.0038208503,Basic metals and fabricated metal,27t28,1.9624588,RoW,3442774.94310414,1159001.042422611
ARG,Argentina,Americas,557532.31,28,.0038208503,"Machinery, nec",29,.19455881,EU27,51369.3600536359,169.0790027827024
ARG,Argentina,Americas,557532.31,28,.0038208503,"Machinery, nec",29,.19455881,RoW,779538.5319324172,4650.498030437157
