year,tradeflow,reportercode,reporter,reporteriso,partner,partneriso,commoditycode,commodity,netweightkg,tradevalueus
2019,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",212366729,3512495941
2019,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",20903667,2058364418
2020,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",201653654,3110876144
2020,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",12237760,1836325723
2017,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",117321,227972206
2017,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",21399,12552061
2018,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",124096,227976470
2018,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",28339,15303838
2019,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",145992,242838961
2019,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",36731,18706822
2020,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",175798,291511928
2020,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",58199,35345340
2017,Export,410,Rep. of Korea,KOR,World,WLD,854160,Crystals; mounted piezo-electric,369804,71715932
2017,Export,490,Taiwan,TWN,World,WLD,854160,Crystals; mounted piezo-electric,542948,615556484
2018,Export,410,Rep. of Korea,KOR,World,WLD,854160,Crystals; mounted piezo-electric,472891,78422616
2018,Export,490,Taiwan,TWN,World,WLD,854160,Crystals; mounted piezo-electric,499853,584506870
2019,Export,410,Rep. of Korea,KOR,World,WLD,854160,Crystals; mounted piezo-electric,377413,73414786
2019,Export,490,Taiwan,TWN,World,WLD,854160,Crystals; mounted piezo-electric,427368,536767396
2020,Export,410,Rep. of Korea,KOR,World,WLD,854160,Crystals; mounted piezo-electric,297187,75434282
2020,Export,490,Taiwan,TWN,World,WLD,854160,Crystals; mounted piezo-electric,437349,698238631
2017,Export,410,Rep. of Korea,KOR,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",4528118,217728746
2017,Export,490,Taiwan,TWN,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",11188907,373831140
2018,Export,410,Rep. of Korea,KOR,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",3598258,139839262
2018,Export,490,Taiwan,TWN,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",11231676,388407052
2019,Export,410,Rep. of Korea,KOR,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",5183064,124754164
2019,Export,490,Taiwan,TWN,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",9247628,328728511
2020,Export,410,Rep. of Korea,KOR,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",4077373,143195427
2020,Export,490,Taiwan,TWN,World,WLD,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",9064140,334934054
2017,Export,410,Rep. of Korea,KOR,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6359139,21359845572
2017,Export,490,Taiwan,TWN,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1340499,2448114782
2018,Export,410,Rep. of Korea,KOR,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",7010842,22095020467
2018,Export,490,Taiwan,TWN,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1871090,4680547126
2019,Export,410,Rep. of Korea,KOR,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6661873,20677631144
2019,Export,490,Taiwan,TWN,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2277585,6135617748
2020,Export,410,Rep. of Korea,KOR,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",7202098,23516687114
2020,Export,490,Taiwan,TWN,World,WLD,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2749128,9838859812
2017,Export,410,Rep. of Korea,KOR,World,WLD,854232,Electronic integrated circuits; memories,2292969,60506907883
2017,Export,490,Taiwan,TWN,World,WLD,854232,Electronic integrated circuits; memories,4622344,10420049059
2018,Export,410,Rep. of Korea,KOR,World,WLD,854232,Electronic integrated circuits; memories,2409438,83048245976
